ALUMINUM_AGRINIUM,aluminum_agrinium,Agrinium Aluminum,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_LOK,energy_renewable_site_limited_tidal_lok,Lokian Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_NABOO,energy_renewable_site_limited_tidal_naboo,Naboo Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_RORI,energy_renewable_site_limited_tidal_rori,Rori Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_TALUS,energy_renewable_site_limited_tidal_talus,Talusian Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_TATOOINE,energy_renewable_site_limited_tidal_tatooine,Tatooinian Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_YAVIN4,energy_renewable_site_limited_tidal_yavin4,Yavinian Tidal Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_CORELLIA,energy_renewable_unlimited_solar_corellia,Corellian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_DANTOOINE,energy_renewable_unlimited_solar_dantooine,Dantooine Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_DATHOMIR,energy_renewable_unlimited_solar_dathomir,Dathomirian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_ENDOR,energy_renewable_unlimited_solar_endor,Endorian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_LOK,energy_renewable_unlimited_solar_lok,Lokian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_NABOO,energy_renewable_unlimited_solar_naboo,Nabooian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_RORI,energy_renewable_unlimited_solar_rori,Rori Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_TALUS,energy_renewable_unlimited_solar_talus,Talusian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_TATOOINE,energy_renewable_unlimited_solar_tatooine,Tatooinian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR_YAVIN4,energy_renewable_unlimited_solar_yavin4,Yavinian Solar Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_CORELLIA,energy_renewable_unlimited_wind_corellia,Corellian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_DANTOOINE,energy_renewable_unlimited_wind_dantooine,Dantooine Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_DATHOMIR,energy_renewable_unlimited_wind_dathomir,Dathomirian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_ENDOR,energy_renewable_unlimited_wind_endor,Endorian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_LOK,energy_renewable_unlimited_wind_lok,Lokian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_NABOO,energy_renewable_unlimited_wind_naboo,Nabooian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_RORI,energy_renewable_unlimited_wind_rori,Rori Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_TALUS,energy_renewable_unlimited_wind_talus,Talusian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_TATOOINE,energy_renewable_unlimited_wind_tatooine,Tatooinian Wind Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND_YAVIN4,energy_renewable_unlimited_wind_yavin4,Yavinian Wind Renewable Energy,
FIBERPLAST_CORELLIA,fiberplast_corellia,Corellia Fiberplast,
FIBERPLAST_DANTOOINE,fiberplast_dantooine,Dantooine Fiberplast,
FIBERPLAST_DATHOMIR,fiberplast_dathomir,Dathomirian Fiberplast,
FIBERPLAST_ENDOR,fiberplast_endor,Endorian Fiberplast,
FIBERPLAST_GRAVITONIC,fiberplast_gravitonic,Gravitonic Fiberplast,
FIBERPLAST_LOK,fiberplast_lok,Lokian Fiberplast,
FIBERPLAST_NABOO,fiberplast_naboo,Nabooian Fiberplast,
FIBERPLAST_RORI,fiberplast_rori,Rori Fiberplast,
FIBERPLAST_TALUS,fiberplast_talus,Talusian Fiberplast,
FIBERPLAST_TATOOINE,fiberplast_tatooine,Tatooinian Fiberplast,
FIBERPLAST_YAVIN4,fiberplast_yavin4,Yavinian Fiberplast,
FRUIT_BERRIES_CORELLIA,fruit_berries_corellia,Corellia Berry Fruit,
FRUIT_BERRIES_DANTOOINE,fruit_berries_dantooine,Dantooine Berry Fruit,
FRUIT_BERRIES_DATHOMIR,fruit_berries_dathomir,Dathomirian Berry Fruit,
FRUIT_BERRIES_ENDOR,fruit_berries_endor,Endorian Berry Fruit,
FRUIT_BERRIES_LOK,fruit_berries_lok,Lokian Berry Fruit,
FRUIT_BERRIES_NABOO,fruit_berries_naboo,Nabooian Berry Fruit,
FRUIT_BERRIES_RORI,fruit_berries_rori,Rori Berry Fruit,
FRUIT_BERRIES_TALUS,fruit_berries_talus,Talusian Berry Fruit,
FRUIT_BERRIES_TATOOINE,fruit_berries_tatooine,Tatooinian Berry Fruit,
FRUIT_BERRIES_YAVIN4,fruit_berries_yavin4,Yavinian Berry Fruit,
FRUIT_FLOWERS_CORELLIA,fruit_flowers_corellia,Corellia Flower Fruit,
FRUIT_FLOWERS_DANTOOINE,fruit_flowers_dantooine,Dantooine Flower Fruit,
FRUIT_FLOWERS_DATHOMIR,fruit_flowers_dathomir,Dathomirian Flower Fruit,
FRUIT_FLOWERS_ENDOR,fruit_flowers_endor,Endorian Flower Fruit,
FRUIT_FLOWERS_LOK,fruit_flowers_lok,Lokian Flower Fruit,
FRUIT_FLOWERS_NABOO,fruit_flowers_naboo,Nabooian Flower Fruit,
FRUIT_FLOWERS_RORI,fruit_flowers_rori,Rori Flower Fruit,
FRUIT_FLOWERS_TALUS,fruit_flowers_talus,Talusian Flower Fruit,
FRUIT_FLOWERS_TATOOINE,fruit_flowers_tatooine,Tatooinian Flower Fruit,
FRUIT_FLOWERS_YAVIN4,fruit_flowers_yavin4,Yavinian Flower Fruit,
FRUIT_FRUITS_CORELLIA,fruit_fruits_corellia,Corellian Fruit,
FRUIT_FRUITS_DANTOOINE,fruit_fruits_dantooine,Dantooine Fruit,
FRUIT_FRUITS_DATHOMIR,fruit_fruits_dathomir,Dathomirian Fruit,
FRUIT_FRUITS_ENDOR,fruit_fruits_endor,Endorian Fruit,
FRUIT_FRUITS_LOK,fruit_fruits_lok,Lokian Fruit,
FRUIT_FRUITS_NABOO,fruit_fruits_naboo,Nabooian Fruit,
FRUIT_FRUITS_RORI,fruit_fruits_rori,Rori Fruit,
FRUIT_FRUITS_TALUS,fruit_fruits_talus,Talusian Fruit,
FRUIT_FRUITS_TATOOINE,fruit_fruits_tatooine,Tatooinian Fruit,
FRUIT_FRUITS_YAVIN4,fruit_fruits_yavin4,Yavinian Fruit,
GAS_INERT_BILAL,gas_inert_bilal,Bilal gas Inert Gas,
GAS_INERT_CORTHEL,gas_inert_corthel,Corthel Inert Gas,
GAS_INERT_CULSION,gas_inert_culsion,Culsion Inert Gas,
GAS_INERT_DIOXIS,gas_inert_dioxis,Dioxis Inert Gas,
GAS_INERT_HURLOTHROMBIC,gas_inert_hurlothrombic,Hurlothrombic Inert Gas,
GAS_INERT_HYDRON3,gas_inert_hydron3,Hydron-3 Inert Gas,
GAS_INERT_KAYLON,gas_inert_kaylon,Kaylon Inert Gas,
GAS_INERT_KORFAISE,gas_inert_korfaise,Korfaise Inert Gas,
GAS_INERT_MALIUM,gas_inert_malium,Malium Inert Gas,
GAS_INERT_METHANAGEN,gas_inert_methanagen,Methanagen Inert Gas,
GAS_INERT_MIRTH,gas_inert_mirth,Mirth Inert Gas,
GAS_INERT_OBAH,gas_inert_obah,Obah Inert Gas,
GAS_INERT_RETHIN,gas_inert_rethin,Rethin Inert Gas,
GAS_INERT_UNKNOWN,gas_inert_unknown,Unknown Inert Gas,
GAS_REACTIVE_ELETON,gas_reactive_eleton,Eleton Reactive Gas,
GAS_REACTIVE_IROLUNN,gas_reactive_irolunn,Irolunn Reactive Gas,
GAS_REACTIVE_METHANE,gas_reactive_methane,Methane Reactive Gas,
GAS_REACTIVE_ORGANOMETALLIC,gas_reactive_organometallic,Unstable Organometallic Reactive Gas,
GAS_REACTIVE_ORVETH,gas_reactive_orveth,Orveth Reactive Gas,
GAS_REACTIVE_SIG,gas_reactive_sig,Sig Reactive Gas,
GAS_REACTIVE_SKEVON,gas_reactive_skevon,Skevon Reactive Gas,
GAS_REACTIVE_TOLIUM,gas_reactive_tolium,Tolium Reactive Gas,
GAS_REACTIVE_UNKNOWN,gas_reactive_unknown,Unknown Reactive Gas,
GEMSTONE_UNKNOWN,gemstone_unknown,Unknown Gem Type,
HIDE_BRISTLEY_CORELLIA,hide_bristley_corellia,Corellian Bristley Hide,
HIDE_BRISTLEY_DANTOOINE,hide_bristley_dantooine,Dantooine Bristley Hide,
HIDE_BRISTLEY_DATHOMIR,hide_bristley_dathomir,Dathomirian Bristley Hide,
HIDE_BRISTLEY_ENDOR,hide_bristley_endor,Endorian Bristley Hide,
HIDE_BRISTLEY_LOK,hide_bristley_lok,Lokian Bristley Hide,
HIDE_BRISTLEY_NABOO,hide_bristley_naboo,Nabooian Bristley Hide,
HIDE_BRISTLEY_RORI,hide_bristley_rori,Rori Bristley Hide,
HIDE_BRISTLEY_TALUS,hide_bristley_talus,Talusian Bristley Hide,
HIDE_BRISTLEY_TATOOINE,hide_bristley_tatooine,Tatooinian Bristley Hide,
HIDE_BRISTLEY_YAVIN4,hide_bristley_yavin4,Yavinian Bristley Hide,
HIDE_LEATHERY_CORELLIA,hide_leathery_corellia,Corellian Leathery Hide,
HIDE_LEATHERY_DANTOOINE,hide_leathery_dantooine,Dantooine Leathery Hide,
HIDE_LEATHERY_DATHOMIR,hide_leathery_dathomir,Dathomirian Leathery Hide,
HIDE_LEATHERY_ENDOR,hide_leathery_endor,Endorian Leathery Hide,
HIDE_LEATHERY_LOK,hide_leathery_lok,Lokian Leathery Hide,
HIDE_LEATHERY_NABOO,hide_leathery_naboo,Nabooian Leathery Hide,
HIDE_LEATHERY_RORI,hide_leathery_rori,Rori Leathery Hide,
HIDE_LEATHERY_TALUS,hide_leathery_talus,Talusian Leathery Hide,
HIDE_LEATHERY_TATOOINE,hide_leathery_tatooine,Tatooinian Leathery Hide,
HIDE_LEATHERY_YAVIN4,hide_leathery_yavin4,Yavinian Leathery Hide,
HIDE_SCALEY_CORELLIA,hide_scaley_corellia,Corellian Scaley Hide,
HIDE_SCALEY_DANTOOINE,hide_scaley_dantooine,Dantooine Scaley Hide,
HIDE_SCALEY_DATHOMIR,hide_scaley_dathomir,Dathomirian Scaley Hide,
HIDE_SCALEY_ENDOR,hide_scaley_endor,Endorian Scaley Hide,
HIDE_SCALEY_LOK,hide_scaley_lok,Lokian Scaley Hide,
HIDE_SCALEY_NABOO,hide_scaley_naboo,Nabooian Scaley Hide,
HIDE_SCALEY_RORI,hide_scaley_rori,Rori Scaley Hide,
HIDE_SCALEY_TALUS,hide_scaley_talus,Talusian Scaley Hide,
HIDE_SCALEY_TATOOINE,hide_scaley_tatooine,Tatooinian Scaley Hide,
HIDE_SCALEY_YAVIN4,hide_scaley_yavin4,Yavinian Scaley Hide,
HIDE_WOOLY_CORELLIA,hide_wooly_corellia,Corellian Wooly Hide,
HIDE_WOOLY_DANTOOINE,hide_wooly_dantooine,Dantooine Wooly Hide,
HIDE_WOOLY_DATHOMIR,hide_wooly_dathomir,Dathomirian Wooly Hide,
HIDE_WOOLY_ENDOR,hide_wooly_endor,Endorian Wooly Hide,
HIDE_WOOLY_LOK,hide_wooly_lok,Lokian Wooly Hide,
HIDE_WOOLY_NABOO,hide_wooly_naboo,Nabooian Wooly Hide,
HIDE_WOOLY_RORI,hide_wooly_rori,Rori Wooly Hide,
HIDE_WOOLY_TALUS,hide_wooly_talus,Talusian Wooly Hide,
HIDE_WOOLY_TATOOINE,hide_wooly_tatooine,Tatooinian Wooly Hide,
HIDE_WOOLY_YAVIN4,hide_wooly_yavin4,Yavinian Wooly Hide,
IRON_AXIDITE,iron_axidite,Axidite Iron,
IRON_BRONZIUM,iron_bronzium,Bronzium Iron,
IRON_COLAT,iron_colat,Colat Iron,
IRON_DOLOVITE,iron_dolovite,Dolovite Iron,
IRON_DOONIUM,iron_doonium,Doonium Iron,
IRON_KAMMRIS,iron_kammris,Kammris Iron,
IRON_PLUMBUM,iron_plumbum,Plumbum Iron,
IRON_POLONIUM,iron_polonium,Polonium Iron,
MEAT_AVIAN_CORELLIA,meat_avian_corellia,Corellian Avian Meat,
MEAT_AVIAN_DANTOOINE,meat_avian_dantooine,Dantooine Avian Meat,
MEAT_AVIAN_DATHOMIR,meat_avian_dathomir,Dathomirian Avian Meat,
MEAT_AVIAN_ENDOR,meat_avian_endor,Endorian Avian Meat,
MEAT_AVIAN_LOK,meat_avian_lok,Lokian Avian Meat,
MEAT_AVIAN_NABOO,meat_avian_naboo,Nabooian Avian Meat,
MEAT_AVIAN_RORI,meat_avian_rori,Rori Avian Meat,
MEAT_AVIAN_TALUS,meat_avian_talus,Talusian Avian Meat,
MEAT_AVIAN_TATOOINE,meat_avian_tatooine,Tatooinian Avian Meat,
MEAT_AVIAN_YAVIN4,meat_avian_yavin4,Yavinian Avian Meat,
MEAT_CARNIVORE_CORELLIA,meat_carnivore_corellia,Corellian Carnivore Meat,
MEAT_CARNIVORE_DANTOOINE,meat_carnivore_dantooine,Dantooine Carnivore Meat,
MEAT_CARNIVORE_DATHOMIR,meat_carnivore_dathomir,Dathomirian Carnivore Meat,
MEAT_CARNIVORE_ENDOR,meat_carnivore_endor,Endorian Carnivore Meat,
MEAT_CARNIVORE_LOK,meat_carnivore_lok,Lokian Carnivore Meat,
MEAT_CARNIVORE_NABOO,meat_carnivore_naboo,Nabooian Carnivore Meat,
MEAT_CARNIVORE_RORI,meat_carnivore_rori,Rori Carnivore Meat,
MEAT_CARNIVORE_TALUS,meat_carnivore_talus,Talusian Carnivore Meat,
MEAT_CARNIVORE_TATOOINE,meat_carnivore_tatooine,Tatooinian Carnivore Meat,
MEAT_CARNIVORE_YAVIN4,meat_carnivore_yavin4,Yavinian Carnivore Meat,
MEAT_DOMESTICATED_CORELLIA,meat_domesticated_corellia,Corellian Domesticated Meat,
MEAT_DOMESTICATED_DANTOOINE,meat_domesticated_dantooine,Dantooine Domesticated Meat,
MEAT_DOMESTICATED_DATHOMIR,meat_domesticated_dathomir,Dathomirian Domesticated Meat,
MEAT_DOMESTICATED_ENDOR,meat_domesticated_endor,Endorian Domesticated Meat,
MEAT_DOMESTICATED_LOK,meat_domesticated_lok,Lokian Domesticated Meat,
MEAT_DOMESTICATED_NABOO,meat_domesticated_naboo,Nabooian Domesticated Meat,
MEAT_DOMESTICATED_RORI,meat_domesticated_rori,Rori Domesticated Meat,
MEAT_DOMESTICATED_TALUS,meat_domesticated_talus,Talusian Domesticated Meat,
MEAT_DOMESTICATED_TATOOINE,meat_domesticated_tatooine,Tatooinian Domesticated Meat,
MEAT_DOMESTICATED_YAVIN4,meat_domesticated_yavin4,Yavinian Domesticated Meat,
MEAT_EGG_CORELLIA,meat_egg_corellia,Corellian Egg,
MEAT_EGG_DANTOOINE,meat_egg_dantooine,Dantooine Egg,
MEAT_EGG_DATHOMIR,meat_egg_dathomir,Dathomirian Egg,
MEAT_EGG_ENDOR,meat_egg_endor,Endorian Egg,
MEAT_EGG_LOK,meat_egg_lok,Lokian Egg,
MEAT_EGG_NABOO,meat_egg_naboo,Nabooian Egg,
MEAT_EGG_RORI,meat_egg_rori,Rori Egg,
MEAT_EGG_TALUS,meat_egg_talus,Talusian Egg,
MEAT_EGG_TATOOINE,meat_egg_tatooine,Tatooinian Egg,
MEAT_EGG_YAVIN4,meat_egg_yavin4,Yavinian Egg,
MEAT_HERBIVORE_CORELLIA,meat_herbivore_corellia,Corellian Herbivore Meat,
MEAT_HERBIVORE_DANTOOINE,meat_herbivore_dantooine,Dantooine Herbivore Meat,
MEAT_HERBIVORE_DATHOMIR,meat_herbivore_dathomir,Dathomirian Herbivore Meat,
MEAT_HERBIVORE_ENDOR,meat_herbivore_endor,Endorian Herbivore Meat,
MEAT_HERBIVORE_LOK,meat_herbivore_lok,Lokian Herbivore Meat,
MEAT_HERBIVORE_NABOO,meat_herbivore_naboo,Nabooian Herbivore Meat,
MEAT_HERBIVORE_RORI,meat_herbivore_rori,Rori Herbivore Meat,
MEAT_HERBIVORE_TALUS,meat_herbivore_talus,Talusian Herbivore Meat,
MEAT_HERBIVORE_TATOOINE,meat_herbivore_tatooine,Tatooinian Herbivore Meat,
MEAT_HERBIVORE_YAVIN4,meat_herbivore_yavin4,Yavinian Herbivore Meat,
MEAT_INSECT_CORELLIA,meat_insect_corellia,Corellian Insect Meat,
MEAT_INSECT_DANTOOINE,meat_insect_dantooine,Dantooine Insect Meat,
MEAT_INSECT_DATHOMIR,meat_insect_dathomir,Dathomirian Insect Meat,
MEAT_INSECT_ENDOR,meat_insect_endor,Endorian Insect Meat,
